T550,x,y,lon,lat
1.1422,673,2635,-60.50216884724671,-3.2870859917009057
1.1481999,673,2636,-60.499500847253444,-3.2876919916993756
1.1541,673,2637,-60.49684184726016,-3.288296991697848
1.1541,673,2638,-60.49684184726016,-3.288296991697848
1.1601,673,2639,-60.494208847266805,-3.2888949916963384
1.166,673,2640,-60.49154884727352,-3.289499991694811
1.0972999,674,2629,-60.51873184720489,-3.286048991703524
1.1051999,674,2630,-60.51606984721161,-3.286654991701994
1.1132,674,2631,-60.513406847218334,-3.2872599917004663
1.1212,674,2632,-60.5107258472251,-3.2878699916989262
1.1291,674,2633,-60.508063847231824,-3.2884749916973988
1.1371,674,2634,-60.50540284723854,-3.2890799916958713
1.1429,674,2635,-60.502732847245284,-3.2896869916943388
1.1487,674,2636,-60.500073847252,-3.2902919916928113
1.1546,674,2637,-60.49741584725871,-3.2908959916912863
1.1546,674,2638,-60.49741584725871,-3.2908959916912863
1.1603999,674,2639,-60.49478484726535,-3.291494991689774
1.1661999,674,2640,-60.492125847272064,-3.292098991688249
1.1719999,674,2641,-60.48946884727877,-3.292702991686724
1.0562999,675,2623,-60.532623847169816,-3.285619991704607
1.0638,675,2624,-60.529962847176535,-3.286225991703077
1.0713999,675,2625,-60.527292847183276,-3.2868329917015444
1.079,675,2626,-60.524634847189986,-3.2874369917000195
1.0864999,675,2627,-60.521981847196685,-3.288039991698497
1.0864999,675,2628,-60.521981847196685,-3.288039991698497
1.0941,675,2629,-60.519315847203416,-3.2886469916969645
1.1017,675,2630,-60.51664784721015,-3.289253991695432
1.1092,675,2631,-60.51397984721689,-3.289859991693902
1.1168,675,2632,-60.511295847223664,-3.2904709916923593
1.1244,675,2633,-60.50863484723038,-3.291075991690832
1.1319,675,2634,-60.5059738472371,-3.2916809916893044
1.1374999,675,2635,-60.50330484724384,-3.292287991687772
1.143,675,2636,-60.50064684725055,-3.292891991686247
1.1485,675,2637,-60.49798884725726,-3.293495991684722
1.1485,675,2638,-60.49798884725726,-3.293495991684722
1.1539999,675,2639,-60.4953598472639,-3.294093991683212
1.1595,675,2640,-60.49270284727061,-3.294697991681687
1.165,675,2641,-60.49004684727731,-3.2953019916801622
1.0264,676,2618,-60.54382384714154,-3.2858039917041424
1.0264,676,2619,-60.54382384714154,-3.2858039917041424
1.0336,676,2620,-60.54117884714822,-3.286404991702625
1.0407,676,2621,-60.53853584715489,-3.2870059917011076
1.0479,676,2622,-60.53588084716159,-3.2876099916995827
1.0551,676,2623,-60.533214847168324,-3.2882159916980527
1.0622,676,2624,-60.530548847175055,-3.2888219916965227
1.0694,676,2625,-60.527882847181786,-3.28942899169499
1.0766,676,2626,-60.52521884718851,-3.29003499169346
1.0837,676,2627,-60.52255284719524,-3.29064099169193
1.0837,676,2628,-60.52255284719524,-3.29064099169193
1.0909,676,2629,-60.51988584720198,-3.2912469916904
1.0981,676,2630,-60.51721784720871,-3.2918539916888676
1.1053,676,2631,-60.51454984721545,-3.292460991687335
1.1123999,676,2632,-60.51186484722223,-3.293070991685795
1.1195999,676,2633,-60.509203847228946,-3.2936759916842675
1.1268,676,2634,-60.50654384723566,-3.29428099168274
1.132,676,2635,-60.5038758472424,-3.2948879916812075
1.1372,676,2636,-60.501218847249106,-3.2954919916796825
1.1424,676,2637,-60.49860184725571,-3.2960869916781803
1.1424,676,2638,-60.49860184725571,-3.2960869916781803
1.1475999,676,2639,-60.495951847262404,-3.296689991676658
1.1529,676,2640,-60.493317847269054,-3.297287991675148
1.1581,676,2641,-60.49066684727575,-3.2978909916736256
1.1632999,676,2642,-60.48801484728244,-3.298493991672103
1.0107,677,2612,-60.560384847099726,-3.2847669917067606
1.0126,677,2613,-60.55772884710643,-3.2853709917052356
1.0145,677,2614,-60.55507284711314,-3.2859749917037107
1.0163,677,2615,-60.552376847119945,-3.286587991702163
1.0181999,677,2616,-60.549706847126686,-3.287195991700628
1.02,677,2617,-60.54703684713343,-3.2878029916990954
1.0267999,677,2618,-60.54442984714001,-3.288395991697598
1.0267999,677,2619,-60.54442984714001,-3.288395991697598
1.0336,677,2620,-60.54178484714669,-3.288996991696081
1.0404,677,2621,-60.53914084715336,-3.289598991694561
1.0471,677,2622,-60.53646784716011,-3.2902059916930284
1.0606999,677,2624,-60.53112984717359,-3.291420991689961
1.0674,677,2625,-60.52845984718033,-3.2920279916884283
1.0741999,677,2626,-60.52579284718706,-3.2926339916868983
1.081,677,2627,-60.5231248471938,-3.2932409916853658
1.081,677,2628,-60.5231248471938,-3.2932409916853658
