Category: All categories

Month,Remote sensing: (Worldwide),Big data: (Worldwide),Machine learning: (Worldwide),Deep learning: (Worldwide),GPU: (Worldwide)
2010-07,10,1,5,<1,43
2010-08,11,2,6,<1,46
2010-09,12,1,6,<1,47
2010-10,13,1,6,1,47
2010-11,13,2,6,<1,46
2010-12,11,2,6,<1,45
2011-01,10,2,5,<1,45
2011-02,10,2,6,1,44
2011-03,12,2,6,1,46
2011-04,12,2,6,<1,44
2011-05,11,2,6,1,46
2011-06,10,3,6,<1,48
2011-07,9,3,6,<1,47
2011-08,9,3,6,<1,46
2011-09,11,3,7,<1,43
2011-10,12,4,9,<1,49
2011-11,12,5,8,1,51
2011-12,10,5,7,<1,50
2012-01,9,7,7,<1,48
2012-02,10,9,8,1,45
2012-03,11,10,7,1,47
2012-04,10,11,8,1,46
2012-05,11,12,8,1,52
2012-06,9,12,7,1,49
2012-07,8,12,8,1,49
2012-08,8,12,7,1,50
2012-09,10,14,9,1,50
2012-10,10,17,8,1,46
2012-11,10,17,8,1,48
2012-12,9,16,7,1,52
2013-01,9,18,8,1,53
2013-02,9,20,8,1,57
2013-03,10,24,8,1,58
2013-04,10,25,8,1,55
2013-05,9,25,9,2,52
2013-06,8,26,8,1,55
2013-07,7,25,8,1,55
2013-08,7,24,8,1,55
2013-09,9,28,9,2,55
2013-10,10,30,10,2,56
2013-11,11,29,9,2,67
2013-12,9,25,9,2,70
2014-01,8,28,9,2,67
2014-02,9,32,11,2,63
2014-03,10,34,11,2,58
2014-04,9,34,11,2,55
2014-05,9,32,11,2,54
2014-06,8,31,10,2,54
2014-07,7,33,11,2,55
2014-08,7,30,11,3,54
2014-09,10,35,12,3,53
2014-10,10,37,13,3,55
2014-11,11,35,13,3,59
2014-12,9,31,12,4,60
2015-01,8,33,13,5,60
2015-02,9,36,14,5,55
2015-03,9,38,15,5,54
2015-04,9,37,16,5,57
2015-05,9,35,15,5,60
2015-06,8,37,16,6,62
2015-07,7,34,16,6,59
2015-08,10,33,16,5,57
2015-09,10,38,18,6,54
2015-10,10,38,18,6,57
2015-11,10,38,20,7,64
2015-12,9,33,19,7,65
2016-01,8,34,19,9,59
2016-02,8,39,21,9,56
2016-03,9,40,23,12,56
2016-04,9,38,23,12,54
2016-05,9,39,24,12,56
2016-06,8,38,24,12,62
2016-07,7,34,23,10,56
2016-08,11,33,24,10,53
2016-09,11,39,26,12,55
2016-10,11,38,30,14,57
2016-11,11,42,31,15,60
2016-12,9,36,31,14,61
2017-01,7,38,34,17,60
2017-02,9,42,37,17,59
2017-03,9,43,40,18,61
2017-04,9,42,40,18,62
2017-05,9,42,43,19,63
2017-06,7,39,45,20,77
2017-07,7,35,42,19,71
2017-08,8,36,43,20,67
2017-09,10,40,47,21,66
2017-10,11,42,51,22,66
2017-11,11,43,52,23,79
2017-12,8,35,49,23,93
2018-01,8,38,52,23,98
2018-02,8,39,52,23,84
2018-03,8,40,57,24,76
2018-04,8,39,55,24,71
2018-05,8,37,57,24,67
2018-06,6,36,56,23,68
2018-07,6,35,55,22,65
2018-08,8,35,57,22,72
2018-09,10,40,60,23,65
2018-10,11,43,62,24,65
2018-11,10,39,59,24,72
2018-12,8,33,56,21,68
2019-01,8,34,59,23,68
2019-02,8,37,63,25,69
2019-03,8,37,63,25,66
2019-04,8,36,63,24,61
2019-05,7,35,63,24,61
2019-06,6,35,66,24,66
2019-07,6,34,65,23,68
2019-08,7,33,63,22,65
2019-09,10,36,68,24,64
2019-10,11,38,67,24,63
2019-11,10,44,67,24,69
2019-12,8,35,63,22,72
2020-01,8,33,66,23,70
2020-02,8,35,70,24,69
2020-03,7,31,58,21,75
2020-04,6,32,62,22,96
2020-05,7,32,63,23,100
2020-06,7,32,64,24,94
2020-07,6,31,63,23,93
